Number|Description|Qty|Estimate Amount|Taxes|Replacement Cost Total|Age / Cond. / Life|Less Depreciation|Actual Cash Value|Paid|Estimated Remaining|Page Number
84|Vintage chinese round hand fns hand painted silk bamboo handle Geisha pair of 2|8.00 EA|$311.60|$26.10|$337.70|8 y/ Avg. / 10 y|-$270.16|$67.54|$0.00|$270.16|5
85|GORILLA, Rug Pad Gripper 6ft 9ft|1.00 EA|$38.89|$3.26|$42.15|8 y/ Avg. /10 y|-$33.72|$8.43|$0.00|$33.72|5
86|Villeroy & Boch, Mariefleur coffee cup|8.00 EA|$304.00|$25.46|$329.46|5 y/ Avg. /20 y|-$82.37|$247.09|$0.00|$82.37|5
87|Gutermann, Spools of Thread (assorted color)|1.00 EA|$36.99|$3.10|$40.09|1y/Avg./20y|-$2.01|$38.08|$0.00|$2.01|5
88|Zazzle, Baby Shower Party Sign|1.00 EA|$29.99|$2.51|$32.50|0.08 y/ Avg. /10 y|-$0.26|$32.24|$0.00|$0.26|5
89|Zazzle, Baby Shower Party Decoration|1.00 EA|$35.99|$3.01|$39.00|0.08 y/ Avg. /10 y|-$0.31|$38.69|$0.00|$0.31|5
90|Tepco Setting, 300 disposable plastic flatware set|1.00 EA|$35.99|$3.01|$39.00|0.08y/Avg./0y|-$0.00|$39.00|$0.00|$0.00|5
91|Precious Moments, Teddybear figurine|1.00 EA|$35.00|$2.93|$37.93|2y/Avg./1y|-$3.79|$34.14|$0.00|$3.79|5
92|IZO, All supply 58inch X 5yds upholstery dracon batting polyester cushion wrap|1.00 EA|$34.99|$2.93|$37.92|1y/Avg./10y|-$3.79|$34.13|$0.00|$3.79|5
93|Villeroy & Boch, Mariefleur white coffee cup saucer|16.00 EA|$544.00|$45.56|$589.56|5 y/ Avg. /20 y|-$147.39|$442.17|$0.00|$147.39|5
94|Riverbyland, Chinese Silk Gold Table Runner|2.00 EA|$67.96|$5.69|$73.65|2y/Avg./5y|-$29.46|$44.19|$0.00|$29.46|5
95|Zazzle, Party Favor Boxes (10)|4.00 EA|$128.00|$10.72|$138.72|0.08y/ Avg. /0 y|-$0.00|$138.72|$0.00|$0.00|5
96|Rifle Paper Co, Ribbon set of 5|2.00 EA|$64.00|$5.36|$69.36|0.08 y/ Avg. /20 y|-$0.28|$69.08|$0.00|$0.28|5
97|Disney, Vintage Minnie Mouse Mug|1.00 EA|$29.99|$2.51|$32.50|10y/Avg./20y|-$16.26|$16.24|$0.00|$16.26|5
98|Disney, Vintage Mickey Mouse Mug|1.00 EA|$29.99|$2.51|$32.50|10y/Avg./20y|-$16.26|$16.24|$0.00|$16.26|5
99|Enesco, Hand-Painted Wine Glass|8.00 EA|$239.92|$20.09|$260.01|5y/Avg./20y|-$65.00|$195.01|$0.00|$65.00|5
100|DONOUCLS, Crstal Cut Candle Holder|1.00 EA|$25.99|$2.18|$28.17|5 y/ Avg. /10 y|-$14.09|$14.08|$0.00|$14.09|5
101|Mikasa, Swirl Bone China Mug|6.00 EA|$150.00|$12.56|$162.56|3 y/ Avg. /20 y|-$24.38|$138.18|$0.00|$24.38|5
102|Schott Zwiesel, Champagne Glass|1.00 EA|$25.00|$2.09|$27.09|5y/Avg./20y|-$6.77|$20.32|$0.00|$6.77|5
103|Printed Party, Baby Shower Game Set|1.00 EA|$24.99|$2.09|$27.08|0.08 y/ Avg. /5 y|-$0.43|$26.65|$0.00|$0.43|5
104|Enesco, Hand-Painted Glass Pitcher|1.00 EA|$24.99|$2.09|$27.08|5y/Avg./20y|-$6.77|$20.31|$0.00|$6.77|5
105|GORILLA, Rug Pad Gripper 6ft 9ft|1.00 EA|$24.99|$2.09|$27.08|8 y/ Avg. /10 y|-$21.66|$5.42|$0.00|$21.66|5
106|KOSBON, Balloon pump 600W 110V electric|1.00 EA|$23.99|$2.01|$26.00|0.08 y/ Avg. /10 y|-$0.21|$25.79|$0.00|$0.21|5
107|Floral stemless glass set - 2 piece, Floral painted glass drinking bowl set|1.00 EA|$22.99|$1.93|$24.92|5y/Avg./20y|-$6.23|$18.69|$0.00|$6.23|5
108|Lazy panda ceramic coffee mug|1.00 EA|$22.00|$1.84|$23.84|4.33 y/ Avg. /20 y|-$5.16|$18.68|$0.00|$5.16|5
109|LANTREE, Small Crystal Bowl with lid|1.00 EA|$21.99|$1.84|$23.83|5 y/ Avg. /10 y|-$11.92|$11.91|$0.00|$11.92|6
110|Bagasse, Disposible Oval Paper Plates (50)|1.00 EA|$20.00|$1.68|$21.68|1.5 y/ Avg. /0 y|-$0.00|$21.68|$0.00|$0.00|6
111|Horaldaily, Christmas Table 60in x 104in|1.00 EA|$19.99|$1.67|$21.66|2y/Avg./20y|-$2.17|$19.49|$0.00|$2.17|6
112|Eoehro, Sewing Kit|1.00 EA|$19.99|$1.67|$21.66|2y/Avg./20y|-$2.17|$19.49|$0.00|$2.17|6
113|Garneck, Candle Stick Holder (20)|1.00 EA|$19.99|$1.67|$21.66|2 y/ Avg. /10 y|-$4.33|$17.33|$0.00|$4.33|6
114|Amscan, Table Place Cards|1.00 EA|$19.99|$1.67|$21.66|1y/Avg./0y|-$0.00|$21.66|$0.00|$0.00|6
115|Amscan, Table Number Signs|1.00 EA|$19.99|$1.67|$21.66|1y/Avg./10y|-$2.17|$19.49|$0.00|$2.17|6
116|Beszin, Velcro for Sewing|1.00 EA|$19.99|$1.67|$21.66|2y/Avg./20y|-$2.17|$19.49|$0.00|$2.17|6
117|Easercy, 9oz Plastic cups- gold rimmer 100pack|1.00 EA|$19.99|$1.67|$21.66|0.08 y/ Avg. /0 y|-$0.00|$21.66|$0.00|$0.00|6
118|Celebrate It, 10ft balloon garland|1.00 EA|$19.99|$1.67|$21.66|0.08 y/ Avg. /10 y|-$0.17|$21.49|$0.00|$0.17|6
119|Bliving, Turkish Coffee Maker|1.00 EA|$19.95|$1.67|$21.62|5 y/ Avg. /10 y|-$10.82|$10.80|$0.00|$10.82|6
120|Bevvee Store, Cheers to 40 years - stemless wine glass|1.00 EA|$19.95|$1.67|$21.62|4.5 y/ Avg./20 y|-$4.87|$16.75|$0.00|$4.87|6
121|Native Fab, Cloth Napkin- Brown and Yellow (12)|4.00 EA|$75.96|$6.36|$82.32|2y/Avg./5y|-$32.92|$49.40|$0.00|$32.92|6
122|Willbond, Christmas bows 22ct|1.00 EA|$18.99|$1.59|$20.58|0.08 y/ Avg. /10 y|-$0.16|$20.42|$0.00|$0.16|6
123|Cccollections, Handmade Reed Tissue Box|1.00 EA|$17.99|$1.51|$19.50|3 y/ Avg. /10 y|-$5.85|$13.65|$0.00|$5.85|6
124|Burton & Burton, Happy Birthday wine glass|1.00 EA|$16.95|$1.42|$18.37|3 y/ Avg. /20 y|-$2.75|$15.62|$0.00|$2.75|6
125|NYUNI, inch metal sword|6.00 EA|$95.94|$8.03|$103.97|6y/Avg./10y|-$62.38|$41.59|$0.00|$62.38|6
126|Home is wherever mom is" coffee mug|1.00 EA|$14.99|$1.26|$16.25|4.33 y/ Avg. /20 y|-$3.52|$12.73|$0.00|$3.52|6
127|Royal Selangor Pewter coaster Parliament House Malaysia souvenir drink coaster|6.00 EA|$89.94|$7.53|$97.47|4.5 y/ Avg. /20 y|-$21.93|$75.54|$0.00|$21.93|6
128|"Greece" tea cup|2.00 EA|$29.90|$2.50|$32.40|3 y/ Avg. /20 y|-$4.87|$27.53|$0.00|$4.87|6
129|Newbridge, Damask Red Napkin (4)|3.00 EA|$39.54|$3.31|$42.85|4.5y/ Avg. /5y|-$34.28|$8.57|$0.00|$34.28|6
130|Mandala Crafts, White Elastic Band for Sewing|1.00 EA|$12.99|$1.09|$14.08|2y/Avg./20y|-$1.41|$12.67|$0.00|$1.41|6
131|Dnyta, Round Silk Fan with Designs|10.00 EA|$129.90|$10.88|$140.78|5.5 y/ Avg. /10 y|-$77.43|$63.35|$0.00|$77.43|6
132|"New York" Coffee mug|||||||DUPLICATE|$0.00|$0.00|6
133|"Maryland" coffee mug|1.00 EA|$12.00|$1.01|$13.01|4y/Avg./20y|-$2.60|$10.41|$0.00|$2.60|6
134|PartyMate, Bag of balloons 72ct|1.00 EA|$11.99|$1.00|$12.99|0y/Avg./10y|-$0.00|$12.99|$0.00|$0.00|6
135|WINOMO, Crystal Turtle|5.00 EA|$57.95|$4.85|$62.80|5 y/ Avg. /10 y|-$31.41|$31.39|$0.00|$31.41|7
137|Amscan, Cellophane Party Favor Bags|1.00 EA|$9.99|$0.84|$10.83|0.08y/Avg./0y|-$0.00|$10.83|$0.00|$0.00|7
138|Dritz, Boning for Sewing|2.00 EA|$19.98|$1.67|$21.65|5 y/ Avg. /20 y|-$5.42|$16.23|$0.00|$5.42|7
139|Dritz, Stich Witchery for Sewing|2.00 EA|$19.98|$1.67|$21.65|5 y/ Avg. /20 y|-$5.42|$16.23|$0.00|$5.42|7
140|Force Field, 54" flat running laces|8.00 EA|$79.92|$6.69|$86.61|1.08.y/Avg./10y|-$9.35|$77.26|$0.00|$9.35|7
141|Sterilite, Qt Clear Container White Cover|2.00 EA|$18.98|$1.59|$20.57|4y/Avg./10y|-$8.23|$12.34|$0.00|$8.23|7
142|KOLUPA, Sewing Pin, clips & Measuring Tape|1.00 EA|$8.98|$0.75|$9.73|2y/Avg./20y|-$0.98|$8.75|$0.00|$0.98|7
143|Zipper Shipper, 10 brass heavy duty separating zipper|12.00 EA|$98.28|$8.23|$106.51|4y/Avg./10y|-$42.60|$63.91|$0.00|$42.60|7
144|Josdiox, Sewing Snaps|1.00 EA|$7.99|$0.67|$8.66|1y/Avg./20y|-$0.43|$8.23|$0.00|$0.43|7
136|Disney, Gift Card $10|30.00 EA|$300.00|$0.00|$300.00|0.5y/ Avg. /0 y|-$0.00|$300.00|$0.00|$0.00|9
145|MYXBJ, Sculpture: Copper Crane xtGuid%3a%20%2+GroupEntityld%3a%2706913486962+NonSponsorcdlofec3a2Tme/2gpoducpagetre&FORMESHPPDPkbrowetruc&cid=8f87DEDA46A4B358F7F3BC734C434|2.00 EA|$405.98|$34.00|$439.98|3.5y/ Avg. /1y|-$44.00|$395.98|$0.00|$44.00|9
146|Generic, Sculpture: Brass Eagle|2.00 EA|$798.58|$66.88|$865.46|3.5y/ Avg. /1y|-$86.55|$778.91|$0.00|$86.55|9
147|EUROPEAN BRONZE, Sculpture: Bronx Parrot|2.00 EA|$798.00|$66.83|$864.83|3.5y/ Avg. /ly|-$86.48|$778.35|$0.00|$86.48|9
148|Amanti Art, Wall Mirrow: Gold Frame 28in X 40in|1.00 EA|$372.00|$31.16|$403.16|2y/Avg./10y|-$80.63|$322.53|$0.00|$80.63|9
149|ZHDBD, Bench Cushion: Rectangular|1.00 EA|$255.99|$21.44|$277.43|3 y/ Avg. /10 y|-$83.23|$194.20|$0.00|$83.23|9
150|Adidas, Prime 7 Backpack, Black/White, One Size|1.00 EA|$70.00|$5.86|$75.86|1.5 y/ Avg. /20 y|-$5.69|$70.17|$0.00|$5.69|9
151|Generic, 2ft ft|2.00 EA|$99.98|$8.37|$108.35|1.5 y/ Avg. /10 y|-$16.26|$92.09|$0.00|$16.26|9
152|HappyLily, Cloud Slides|1.00 EA|$12.99|$0.57|$13.56|1.5 y/ Avg. /3 y|-$6.79|$6.77|$0.00|$6.79|9
153|Cynthia Rowley, single-breasted asymmetric coat Black|1.00 EA|$545.00|$45.64|$590.64|4.75y/Avg./8y|-$350.68|$239.96|$0.00|$350.68|9
154|Gerry Weber, Paddition Vest Black|1.00 EA|$328.00|$27.47|$355.47|2.5y/ Avg. /8y|-$111.08|$244.39|$0.00|$111.08|9
155|London Fog, Men's Wool-Blend Layered Car Coat|1.00 EA|$275.00|$23.03|$298.03|1y/Avg./8y|-$37.26|$260.77|$0.00|$37.26|9
156|Calvin Klein, Men's Hooded & Quilted Packable Jacket|1.00 EA|$225.00|$18.84|$243.84|1.58y/Avg./8y|-$48.16|$195.68|$0.00|$48.16|9
157|Vince Comuto, Long Puffer Coat (Taupe)|1.00 EA|$199.95|$16.75|$216.70|1.5 y/ Avg. /8 y|-$40.63|$176.07|$0.00|$40.63|10
158|Anne Klein, Women's Houndstooth Notched Collar Blazer|1.00 EA|$149.00|$12.48|$161.48|4.25y/ Avg. /8y|-$85.79|$75.69|$0.00|$85.79|10
159|Weathercast, Women's Weathercast Hooded Midweight Rain Jacket|1.00 EA|$140.00|$11.73|$151.73|1.5 y/ Avg. /8 y|-$28.45|$123.28|$0.00|$28.45|10
160|Dansko Dayna, Women's double- beased sandal|1.00 EA|$139.95|$11.72|$151.67|4y/Avg./3y|-$121.34|$30.33|$0.00|$121.34|10
161|Chico's, Quilted Barn Jacket|1.00 EA|$139.50|$11.68|$151.18|1.67 y/ Avg. /8 y|-$31.55|$119.63|$0.00|$31.55|10
162|Michael Kors, Outerwear Down Puffer Vest Limeade In Bright Yellow|1.00 EA|$138.00|$11.56|$149.56|3 y/ Avg. /8 y|-$56.09|$93.47|$0.00|$56.09|10
163|Clarks, Brown Leather Mary Janes|1.00 EA|$130.00|$10.89|$140.89|3.25y/Avg./3y|-$112.71|$28.18|$0.00|$112.71|10
164|Birkenstock, Shoes: Arizona- Birkibuc|1.00 EA|$110.00|$4.81|$114.81|0.25y/ Avg. /3 y|-$9.57|$105.24|$0.00|$9.57|10
165|London Fog, Women's Wool Blend Coat with Scarf|1.00 EA|$100.00|$4.38|$104.38|1.58 y/ Avg. /8 y|-$20.62|$83.76|$0.00|$20.62|10
166|Coldwater Creek, Vest for All Seasons|1.00 EA|$99.95|$4.37|$104.32|1.5 y/ Avg. /8 y|-$19.56|$84.76|$0.00|$19.56|10
167|L.L Bean, Men's Bean's Down Vest|1.00 EA|$99.00|$4.33|$103.33|0.5y/ Avg. /8y|-$6.46|$96.87|$0.00|$6.46|10
